record_id,seller,raw_product_name,raw_description,canonical_name,species_group,category,treatment,expected_size_hint,best_alias,alias_variant,ambiguity_level,manual_review_recommended,normalization_note,source_type,source_url
LLX-0001,Lowes,spf 2x6x8 No. 2,Seller-style listing for spf 2x6x8 No. 2. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x6x8,SPF,spf,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0002,84 Lumber,SPF 4x4x8 Stud Grade,Seller-style listing for SPF 4x4x8 Stud Grade. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,4x4x8,SPF,SPF,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0003,84 Lumber,Spruce-Pine-Fir 1x6x8 Select,Seller-style listing for Spruce-Pine-Fir 1x6x8 Select. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,1x6x8,Spruce Pine Fir,Spruce-Pine-Fir,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0004,Builder Supply,SPRUCE PINE FIR 7/16x4x8 Common,Seller-style listing for SPRUCE PINE FIR 7/16x4x8 Common. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,7/16x4x8,Spruce Pine Fir,SPRUCE PINE FIR,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0005,Contractor Catalog,SPF 2x6x8 KD,Seller-style listing for SPF 2x6x8 KD. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x6x8,Spruce Pine Fir,SPF,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0006,Independent Lumberyard,Spruce Pine Fir 2x6x12 Common,Seller-style listing for Spruce Pine Fir 2x6x12 Common. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x6x12,Spruce-Pine-Fir,Spruce Pine Fir,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0007,ERP Legacy Import,SPRUCE-PINE-FIR 1x4x8 KD Lumber,Seller-style listing for SPRUCE-PINE-FIR 1x4x8 KD Lumber. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,1x4x8,Spruce-Pine-Fir,SPRUCE-PINE-FIR,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0008,Home Depot,Spruce-Pine-Fir 15/32x4x8 #2,Seller-style listing for Spruce-Pine-Fir 15/32x4x8 #2. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,15/32x4x8,Spruce-Pine-Fir,Spruce-Pine-Fir,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0009,Vendor Price Sheet,spruce/pine/fir 7/16x4x8 KD,Seller-style listing for spruce/pine/fir 7/16x4x8 KD. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,7/16x4x8,Spruce/Pine/Fir,spruce/pine/fir,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
LLX-0010,Lowes,Spruce/Pine/Fir 2x6x8 #2,Seller-style listing for Spruce/Pine/Fir 2x6x8 #2. Intended category: Dimensional framing lumber. Use normalized mapping with caution when ambiguity is high.,SPF,Spruce-Pine-Fir,Dimensional framing lumber,None,2x6x8,Spruce/Pine/Fir,Spruce/Pine/Fir,High,Yes,SPF is a species group; whitewood is a seller/trade term and exact species can vary.,public terminology + synthetic seller-style alias,https://www.lowes.com/n/buying-guide/lumber-buying-guide; https://www.wwpa.org/resources/
