alias,canonical_name
1/2 Birch Ply,Birch Plywood
3/4 Birch Plywood,Birch Plywood
BB Plywood,Birch Plywood
BIRCH PLYWD,Birch Plywood
Baltic Birch,Birch Plywood
Birch Panel,Birch Plywood
Birch Ply,Birch Plywood
Birch Plywood,Birch Plywood
Cabinet Birch,Birch Plywood
Sanded Birch Plywood,Birch Plywood
1/2 CDX,CDX Plywood
15/32 CDX,CDX Plywood
CDX,CDX Plywood
CDX 4x8,CDX Plywood
CDX Plywood,CDX Plywood
CDX Sheathing,CDX Plywood
Construction Plywood,CDX Plywood
Exterior CDX,CDX Plywood
Plywood CDX,CDX Plywood
Sheathing Plywood,CDX Plywood
D Fir,Douglas Fir-Larch
DF #2,Douglas Fir-Larch
DF Lumber,Douglas Fir-Larch
DF No 2,Douglas Fir-Larch
DF-L,Douglas Fir-Larch
DFL,Douglas Fir-Larch
DFL #2&BTR,Douglas Fir-Larch
Doug Fir,Douglas Fir-Larch
Doug Fir Framing,Douglas Fir-Larch
Doug Fir Larch,Douglas Fir-Larch
Doug Fir Stud,Douglas Fir-Larch
Doug-Fir,Douglas Fir-Larch
Douglas Fir,Douglas Fir-Larch
Douglas Fir KD,Douglas Fir-Larch
Douglas Fir Larch,Douglas Fir-Larch
Douglas Fir S4S,Douglas Fir-Larch
Douglas Fir-Larch,Douglas Fir-Larch
Douglas-Fir,Douglas Fir-Larch
Oregon Pine,Douglas Fir-Larch
H-F,Hem-Fir
HF,Hem-Fir
Hem Fir,Hem-Fir
Hem Fir KD,Hem-Fir
Hem Fir Lumber,Hem-Fir
Hem Fir No 2,Hem-Fir
Hem-Fir,Hem-Fir
Hem-Fir #2,Hem-Fir
Hem-Fir S4S,Hem-Fir
Hem-Fir Stud,Hem-Fir
Hemfir,Hem-Fir
Hemlock Fir,Hem-Fir
Hemlock-Fir,Hem-Fir
Western Hemlock Fir,Hem-Fir
Fiberboard,MDF
MDF,MDF
MDF Board,MDF
MDF Panel,MDF
MDF Sheet,MDF
Medium Density Fiberboard,MDF
Medium-Density Fiberboard,MDF
HM,Maple
Hard Maple,Maple
Maple,Maple
Maple Board,Maple
Maple Hardwood,Maple
Maple Project Board,Maple
Maple S4S,Maple
Mixed Maple,Maple
SM,Maple
Soft Maple,Maple
7/16 OSB,OSB
OSB,OSB
OSB 4x8,OSB
OSB Board,OSB
OSB Panel,OSB
OSB Sheathing,OSB
Oriented Strand Bd,OSB
Oriented Strand Board,OSB
Sheathing OSB,OSB
Hardwood Oak,Oak
Oak,Oak
Oak Board,Oak
Oak Hardwood,Oak
Oak Project Board,Oak
Oak S4S,Oak
RO,Oak
Red Oak,Oak
Red Oak Board,Oak
WO,Oak
White Oak,Oak
White Oak Board,Oak
Appearance Pine,Ponderosa Pine
Common Pine,Ponderosa Pine
Knotty Pine,Ponderosa Pine
PPine,Ponderosa Pine
Pine,Ponderosa Pine
Pine Board,Ponderosa Pine
Pine Common Board,Ponderosa Pine
Pine Project Board,Ponderosa Pine
Pine S4S,Ponderosa Pine
Pine Shelving,Ponderosa Pine
Pond Pine,Ponderosa Pine
Ponderosa,Ponderosa Pine
Ponderosa Pine,Ponderosa Pine
Select Pine,Ponderosa Pine
Paint Grade Poplar,Poplar
Poplar,Poplar
Poplar Board,Poplar
Poplar Common Board,Poplar
Poplar Hardwood,Poplar
Poplar Project Board,Poplar
Poplar S4S,Poplar
Tulip Poplar,Poplar
Tulipwood,Poplar
Yellow Poplar,Poplar
ACQ Treated Pine,Pressure Treated Southern Yellow Pine
GC SYP,Pressure Treated Southern Yellow Pine
Ground Contact SYP,Pressure Treated Southern Yellow Pine
MCA Treated Pine,Pressure Treated Southern Yellow Pine
Outdoor Treated Pine,Pressure Treated Southern Yellow Pine
PT Pine,Pressure Treated Southern Yellow Pine
PT SYP,Pressure Treated Southern Yellow Pine
PT Yellow Pine,Pressure Treated Southern Yellow Pine
Pressure Treated Pine,Pressure Treated Southern Yellow Pine
Pressure Treated Southern Yellow Pine,Pressure Treated Southern Yellow Pine
Pressure Treated Yellow Pine,Pressure Treated Southern Yellow Pine
Pressure-Treated Pine,Pressure Treated Southern Yellow Pine
SYP Ground Contact,Pressure Treated Southern Yellow Pine
SYP PT,Pressure Treated Southern Yellow Pine
Treated Pine,Pressure Treated Southern Yellow Pine
Treated SYP,Pressure Treated Southern Yellow Pine
Treated Southern Pine,Pressure Treated Southern Yellow Pine
YellaWood,Pressure Treated Southern Yellow Pine
Yellow Wood,Pressure Treated Southern Yellow Pine
Canadian Whitewood,SPF
Common Whitewood Board,SPF
Construction Whitewood,SPF
KD SPF,SPF
Kiln Dried SPF,SPF
SPF,SPF
SPF #2 Better,SPF
SPF #2&BTR,SPF
SPF Dimensional Lumber,SPF
SPF KD,SPF
SPF Lumber,SPF
SPF No 2,SPF
SPF Prime,SPF
SPF S4S,SPF
SPF Stud,SPF
Spruce Pine Fir,SPF
Spruce Pine Fir Stud,SPF
Spruce-Pine-Fir,SPF
Spruce/Pine/Fir,SPF
Stud Grade Whitewood,SPF
White Wood,SPF
Whitewood,SPF
Whitewood Board,SPF
Whitewood Framing Lumber,SPF
Whitewood Stud,SPF
S. Yellow Pine,Southern Yellow Pine
SY Pine,Southern Yellow Pine
SYP,Southern Yellow Pine
SYP #2,Southern Yellow Pine
SYP Dimensional Lumber,Southern Yellow Pine
SYP Framing,Southern Yellow Pine
SYP KD,Southern Yellow Pine
SYP Lumber,Southern Yellow Pine
SYP No 2,Southern Yellow Pine
SYP Stud,Southern Yellow Pine
Southern Pine,Southern Yellow Pine
Southern Pine Lumber,Southern Yellow Pine
Southern YP,Southern Yellow Pine
Southern Yellow Pine,Southern Yellow Pine
Yellow Pine,Southern Yellow Pine
Yellow Pine Board,Southern Yellow Pine
Appearance Cedar,Western Red Cedar
Cedar,Western Red Cedar
Cedar 1x6,Western Red Cedar
Cedar Board,Western Red Cedar
Cedar Decking,Western Red Cedar
Cedar Fence Board,Western Red Cedar
Cedar Lumber,Western Red Cedar
Cedar Picket,Western Red Cedar
Cedar S4S,Western Red Cedar
Red Cedar,Western Red Cedar
Rough Cedar,Western Red Cedar
W Red Cedar,Western Red Cedar
WRC,Western Red Cedar
Western Cedar,Western Red Cedar
Western Red Cedar,Western Red Cedar
E. White Pine,White Pine
EWP,White Pine
Eastern White Pine,White Pine
Knotty White Pine,White Pine
Premium White Pine,White Pine
Select White Pine,White Pine
WP,White Pine
WP S4S,White Pine
White Pine,White Pine
White Pine Board,White Pine
White Pine Common Board,White Pine
SYP #2&BTR,Southern Yellow Pine
Hem-Fir #2&BTR,Hem-Fir
PT Southern Yellow Pine,Pressure Treated Southern Yellow Pine
SPF #2,SPF
